mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__epsilon,param_svr__gamma,param_svr__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01023406982421875,0.0027819229932320934,0.0038756370544433595,0.0010961729565323092,1.0,10.0,auto,rbf,"{'svr__C': 1, 'svr__epsilon': 10, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-18.803547061494864,-21.43683035530511,-12.425160044696911,-12.175112874857868,-17.522556825589756,-16.472641432388905,3.6339915336607427,40
0.014688491821289062,0.0017324801174396316,0.0058361530303955075,0.0015687942838234015,10.0,0.01,scale,rbf,"{'svr__C': 10, 'svr__epsilon': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-15.891013284717916,-19.55291725997105,-12.173837323833771,-9.934594135962465,-12.543977634497182,-14.019267927796477,3.3583138972369446,1
0.020020294189453124,0.0014318146920573398,0.005892276763916016,0.0016723731151717179,10.0,0.01,auto,rbf,"{'svr__C': 10, 'svr__epsilon': 0.01, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-15.891013284717916,-19.552917259971046,-12.173837323833785,-9.934594135962465,-12.543977634497182,-14.019267927796477,3.358313897236942,1
0.01789083480834961,0.004127429322055167,0.005759620666503906,0.0018732032384018076,10.0,0.1,scale,rbf,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-15.886554953654015,-19.570513118122008,-12.168487087684602,-9.945584636868604,-12.546384313555686,-14.023504821976982,3.361329072188438,3
0.021428298950195313,0.0009849653236072892,0.006100273132324219,0.0016364741336337405,10.0,0.1,auto,rbf,"{'svr__C': 10, 'svr__epsilon': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-15.886554953654015,-19.57051311812201,-12.168487087684602,-9.945584636868604,-12.546384313555683,-14.023504821976982,3.3613290721884397,3
0.019844961166381837,0.0023282089554865024,0.006469917297363281,0.0012250034147092987,10.0,1.0,scale,rbf,"{'svr__C': 10, 'svr__epsilon': 1, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-15.91223835521698,-19.616314213415546,-12.140782377806675,-10.020332027315815,-12.641758815968151,-14.066285157944634,3.3560970997168833,13
0.02073068618774414,0.0006852855792024344,0.006263065338134766,0.0013573885899941175,10.0,1.0,auto,rbf,"{'svr__C': 10, 'svr__epsilon': 1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-15.91223835521698,-19.616314213415546,-12.14078237780668,-10.020332027315815,-12.641758815968151,-14.066285157944634,3.3560970997168833,13
0.01742081642150879,0.000628261672273894,0.004358625411987305,0.000842950964204125,10.0,5.0,scale,rbf,"{'svr__C': 10, 'svr__epsilon': 5, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-15.916660960775722,-18.79083879692837,-11.85386883781313,-10.333291105003998,-13.31448455069274,-14.04182885024279,3.0045812310651185,7
0.013799476623535156,0.003906568823526189,0.003556060791015625,0.0006239389234382786,10.0,5.0,auto,rbf,"{'svr__C': 10, 'svr__epsilon': 5, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-15.916660960775722,-18.79083879692837,-11.853868837813124,-10.333291105003998,-13.314484550692734,-14.04182885024279,3.00458123106512,7
0.010632705688476563,0.0016319390530486475,0.003912639617919922,0.0012139437718588083,10.0,10.0,scale,rbf,"{'svr__C': 10, 'svr__epsilon': 10, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-15.868447317002158,-18.89406630684357,-11.765482455140111,-11.03419863057386,-15.884728402819954,-14.68938462247593,2.912317708535094,19
0.011215448379516602,0.003082683471007331,0.004080963134765625,0.001115877089657999,10.0,10.0,auto,rbf,"{'svr__C': 10, 'svr__epsilon': 10, 'svr__gamma': 'auto', 'svr__kernel': 'rbf'}",-15.868447317002158,-18.894066306843573,-11.765482455140113,-11.03419863057386,-15.884728402819952,-14.689384622475933,2.9123177085350944,20
0.052895975112915036,0.003678610066309005,0.007212400436401367,0.00029493536575624633,100.0,0.01,scale,rbf,"{'svr__C': 100, 'svr__epsilon': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'rbf'}",-16.684927000571978,-19.578793431783208,-11.910910036318798,-9.881706189533336,-12.255929271223785,-14.062453185886222,3.5405844332094882,10
