feature,importance_mean,importance_std
dys_pause_sec_range01_99,0.2839760634310083,0.020173411616235034
dys_pause_sec_p99,0.2784437897277291,0.02065281524750382
dys_pause_sec_q2,0.276235188618542,0.034296795317616195
dys_fillers_per_min,0.27344608003422494,0.03636685518664773
dys_pause_sec_q1,0.2627295414702025,0.03153955801985861
lex_phones_p01,0.247169592095201,0.04395977046615951
dys_pauses_per_min,0.24658025718737467,0.017281125837251558
dys_fillers_per_word,0.2447034514799998,0.04113884661095021
dys_pause_sec_p01,0.23388705747786967,0.025329374211867834
dys_long_pauses_per_min,0.2283096014992596,0.017217707749884258
dys_short_pauses_per_word,0.22521912884585849,0.016480253001363757
lex_phones_q1,0.21886886596108343,0.04253131567663875
dys_pauses_per_word,0.20151905912274018,0.015165527301580398
dys_long_pauses_per_word,0.19218956007338137,0.018748157953068324
